,first_article,last_article,path_count
347,Coal,Rainbow,7
348,Sardar_Vallabhbhai_Patel,Music,7
349,Tom_and_Jerry_%28MGM%29,Leonardo_da_Vinci,7
350,Death_Valley_National_Park,Pluto,7
351,Spherical_aberration,Pacific_Ocean,7
352,Hydrogen,Adolf_Hitler,7
353,Timeline_of_discovery_of_solar_system_planets_and_their_natural_satellites,Economics,7
354,Emperor_Penguin,Norfolk,7
355,Genealogy,Cloud,7
356,Weapon,Novel,7
357,Malta,Aluminium_chloride,7
358,Monkey,Piano,7
359,Ununoctium,Mozilla_Firefox,7
360,Computer_science,Helium,7
361,Bluetooth,Programming_language,7
362,Acid_rain,Economics,7
363,Lake_Albert,Bald_Eagle,7
364,Flute,Venus,7
365,Ant,Avalanche,7
366,Bee,FIFA,7
367,Sperm_Whale,Clarinet,7
368,Tunis,Great_Lakes,7
369,Ice,Linux,7
370,Sahara,Christopher_Columbus,7
371,Adolf_Hitler,Germany,7
372,Alternative_rock,Milk,7
373,Hellenistic_Greece,Lettuce,7
374,Bolivia,Pac-Man,7
375,God,Apple,7
376,X_Window_System,East_Africa,7
377,BBC,Berlin_Wall,7
378,Jesus,Citrus,7
379,ASCII,Milk,7
380,Cave,City,7
381,Dinosaur,Corporation,7
382,Comics,Computer_science,7
383,Cider,Tree,7
384,Cattle,Moon,7
385,The_Origin_of_Species,Supreme_Court_of_the_United_States,7
386,Music,Periodic_table,7
387,Lille,Mexico_City,7
388,Roman_Empire,Carbon_dioxide,7
389,A_Christmas_Carol,Carbon,7
390,Axe,Windows_2000,7
391,Political_economy,Parrot,7
392,Mars,Money,7
393,Harley-Davidson,Antarctica,7
394,Rock_of_Gibraltar,Henry_I_of_England,7
395,Ozone,Venus,7
396,Romeo_and_Juliet,Sodium,7
397,Zebra,Lemon,7
398,SimCity,Barium,7
399,Winston_Churchill,Magma,7
400,Pupil,China,7
401,Trout,Vietnam,7
402,Cheese,Computer,7
403,Vampire_bat,Egypt,7
404,Monaco_Grand_Prix,Argon,7
405,Tony_Blair,Google,7
406,The_Hobbit,Metal,7
407,Sony,Microsoft,7
408,Julius_Caesar,Virus,7
409,Tokyo,Arithmetic,7
410,Mother_Teresa,Metric_expansion_of_space,7
411,Tennis_Masters_Cup,Velociraptor,7
412,Black_hole,2nd_century,7
413,Giraffe,Zebra_shark,7
414,Metal,Mongolia,7
415,Immanuel_Kant,Aluminium_chloride,7
416,List_of_minerals,British_Virgin_Islands,7
417,Sphere,Cobalt,7
418,Dog,God,7
419,Big_Bang,Great_white_shark,7
420,Donald_Duck,Acid_rain,7
421,Hellenistic_Greece,Mount_Rushmore,7
422,World_War_II,Adolf_Hitler,7
423,Radar,The_Beatles,7
424,History_of_Greenland,Speed_of_light,7
425,Language,Paul_McCartney,6
426,Istanbul,Tree,6
427,Energy,Sun,6
428,Black_Death,Rhodium,6
429,Gaza_Strip,Climate_change,6
430,Xanadu_House,Gold,6
431,Loch_Ness,New_Delhi,6
432,Celine_Dion,Milk,6
433,Banana,Apple,6
434,Manganese,Hong_Kong,6
435,Political_economy,Animal,6
436,Effect_of_Hurricane_Katrina_on_New_Orleans,Jupiter,6
437,Cheese,Mars_Exploration_Rover,6
438,African_American_literature,Democratic_Action_Party,6
439,Nitrogen_fixation,Absolute_zero,6
440,The_Merchant_of_Venice,Fungus,6
441,Albatross,Central_processing_unit,6
442,Galileo_Galilei,London,6
443,Canada,Latin,6
444,Metric_expansion_of_space,Mars,6
445,Winter,Republic_of_China,6
446,Bat-eared_Fox,Heat,6
447,American_popular_music,Tide,6
448,Animal_law,Coffee,6
449,British_Virgin_Islands,Actor,6
450,Water,Chicken,6
451,Baboon,Space_Shuttle_Challenger,6
452,Mississippi_River,Sodium,6
453,Virus,Poultry,6
454,Lake_Tanganyika,Virus,6
455,Goose,Computer_science,6
456,Coconut,Cloud,6
457,Pony,Sperm_Whale,6
458,Chocolate,Periodic_table,6
459,Evolution,God,6
460,Iron_Maiden,Vietnam,6
461,55_Cancri_c,Niger,6
462,Podcasting,Moon,6
463,Slavery,Metric_expansion_of_space,6
464,Jesus,FIFA,6
465,Hawk,Cerium,6
466,Planet,Athens,6
467,Computer_programming,Women%27s_rights,6
468,World_War_I,Dresden,6
469,Tokyo,Sound,6
470,Visual_arts,Swastika,6
471,Emperor_Penguin,Flute,6
472,Harald_Maddadsson,Obi-Wan_Kenobi,6
473,Jesus,Chocolate,6
474,Jesus,Football,6
475,Cleopatra_VII,Great_Wall_of_China,6
476,Juvenile_delinquency,Pony,6
477,Zebra,Adolf_Hitler,6
478,Cleopatra_VII,Economics,6
479,Canal,Novel,6
480,Mini,Emotion,6
481,Tamil_language,Charles_I_of_England,6
482,Louis_XIV_of_France,Continental_crust,6
483,Pyramid,Dolphin,6
484,Computer_science,Edible_salt,6
485,Hampshire,George_H._W._Bush,6
486,Byzantine_Empire,George_W._Bush,6
487,Music,Weapon,6
488,David_Beckham,Mao_Zedong,6
489,Naked_Mole_Rat,George_W._Bush,6
490,French_Revolution,Calcium,6
491,Tunisia,Obi-Wan_Kenobi,6
492,Jupiter,Sweden,6
493,Gmail,Juice,6
494,Sickle-cell_disease,Mexico_City,6
495,Gmail,La_Paz,6
496,Gregor_Mendel,Cloud,6
497,Continent,List_of_Prime_Ministers_of_the_United_Kingdom,6
498,Darth_Vader,Roman_Catholic_Church,6
499,Middle_Ages,Togo,6
500,Casimir_effect,Wikipedia,6
501,Broadcasting,God,6
502,Glaciology,Gardening,6
503,Postage_stamp,Astrology,6
504,Attila_the_Hun,Electricity,6
505,Jesus,Sperm_Whale,6
506,Yttrium,Internet_Explorer,6
507,Calcium,Big_Bang,6
508,Citrus,Ice_age,6
509,Equal_Protection_Clause,Radio,6
510,Greek_War_of_Independence,Islamic_republic,6
511,Flower,Kazakhstan,6
512,Japan,Greece,6
513,Antarctic_krill,Guitar,6
514,Manchester,Mars,6
515,Great_Wall_of_China,Vancouver,6
516,Egypt,Christianity,6
517,Ivory,Tank,6
518,Keira_Knightley,Zebra,6
519,Maize,Smog,6
520,Fatty_acid,Cold_War,6
521,Spacecraft_propulsion,Bald_Eagle,6
522,Sputnik_program,Mars,6
523,Basil,Acceleration,6
524,Set,Macintosh,6
525,BASIC,Superconductivity,6
526,Microsoft_Windows,Spanish_conquest_of_the_Inca_Empire,6
527,DVD,Cerium,6
528,President_of_the_United_States,Photosynthesis,6
529,Rome,Windows_Vista,6
530,Amazon_parrot,Sodium,6
531,Gibraltar,Black_hole,6
532,Neptune,AIDS,6
533,Wikimedia_Foundation,Dr._Seuss,6
534,Sodium,Mozilla_Firefox,6
535,Newsround,Feather,6
536,Economy_of_the_Iroquois,Helium,6
537,Christianity,Natalie_Portman,6
538,Santa_Claus,Drinking_water,6
539,Nutrition,Snow_Goose,6
540,Charles_I_of_England,London_Bridge,6
541,ATLAS_experiment,Trojan_War,6
542,Pac-Man,Solar_System,6
543,Therizinosaurus,Athens,6
544,Carrot,Piano,6
545,Neighbours,Neil_Armstrong,6
546,Earth,Croatia,6
547,Shigin,Trigonometry,6
548,China,Hong_Kong,6
549,Electron_beam_welding,Neil_Armstrong,6
550,Uruguay,Viking,6
551,Jurassic,Famine,6
552,Walt_Disney,Euro,6
553,Winter,Buenos_Aires,6
554,Theatre,Lyndon_B._Johnson,6
555,Basketball,Venezuela,6
556,The_Godfather,Saxophone,6
557,Forrest_Gump,Brain,6
558,Venezuela,The_Wall_Street_Journal,6
559,Bologna,Chelsea_F.C.,6
560,Organism,Serbia_and_Montenegro,6
561,Romeo_and_Juliet,Google,6
562,Roman_mythology,Chile,6
563,Superman,Magnesium,6
564,Horse,Theatre,6
565,Wrestling,Emotion,6
566,Sand_shark,Nile,6
567,Guatemala,Wars_of_the_Roses,6
568,Turkmenistan,Music,6
569,Antarctica,Jurassic,6
570,African_Grey_Hornbill,Czech_Republic,6
571,Batman,Adolf_Hitler,6
572,Rupee,Aircraft,6
573,Henry_III_of_England,IPod,6
574,Dice,Space_Shuttle_Challenger,6
575,Batman,Lhasa,6
576,Electromagnetic_radiation,Bald_Eagle,6
577,Battle_of_Alesia,Computer_science,6
578,The_Anarchy,Humpback_Whale,6
579,1st_century,Pac-Man,6
580,12th_century,Zimbabwe,6
581,Triceratops,Ordinal_number,6
582,Piano,Gold,6
583,Crow,Uranium,6
584,Common_Eland,Nuclear_weapon,6
585,Piano,Microsoft_Windows,6
586,Ernest_Hemingway,Potassium,6
587,The_Beatles,Alzheimer%27s_disease,6
588,Gautama_Buddha,Soviet_Union,6
589,Tuna,9th_century,6
590,The_Canadian,Jet_engine,6
591,Britney_Spears,Water,6
592,The_Cat_in_the_Hat,Niagara_Falls,6
593,John_Adams,Train,6
594,London,Lemon,6
595,London,Sperm_Whale,6
596,Duran_Duran,Full_moon,6
597,Mario,Sonic_the_Hedgehog_%28character%29,6
598,Ethics,Linux,6
599,Philippines,Theatre,6
600,Guitar,Edward_VIII_of_the_United_Kingdom,6
601,Germany,Antarctica,6
602,American_Civil_War,Herbivore,6
603,Cuba,Nintendo,6
604,Jazz,Helium,6
605,Potato,Hippocrates,6
606,Haiti,Sodium,6
607,Industry,Nintendo,6
608,Geometry,Volleyball,6
609,Brain,Chestnut,6
610,Idolatry,George_W._Bush,6
611,Psychology,River,6
612,Terik,Carl_Jung,6
613,Photon,Wasp,6
614,Clothing,Zirconium,6
615,Charles_Darwin,CPU_cache,6
616,Bald_Eagle,Thorium,6
617,United_States,Pluto,6
618,History_of_painting,Nintendo,6
619,15th_century,Sulfuric_acid,6
620,Constantine_II_of_Scotland,Nuclear_weapon,6
621,Battle_of_Britain,Extinction,6
622,Smog,Chicken,6
623,War,Wave,6
624,Geology,Stephen_Hawking,6
625,Light,Vietnam,6
626,God,Ant,6
627,Archaeology,Ecuador,6
628,Baseball,Fish,6
629,Henry_VII_of_England,Nuclear_weapon,6
630,Education,Mars,6
631,Camel,Brazil,6
632,Acetone,Amsterdam,6
633,Sperm_Whale,Treaty_of_Versailles,6
634,Glass,Drought,6
635,Buffy_the_Vampire_Slayer,Muhammad,6
636,Hunger,Bread,6
637,Wood,Velociraptor,6
638,Vegetable,Mars_Exploration_Rover,6
639,ASCII,Ramesses_II,6
640,ASCII,Parthenon,6
641,Butter,Star_Wars,6
642,Telephone,Penguin,6
643,Sandur,Nuclear_weapon,6
644,Albania,Milky_Way,6
645,Super_Mario_64,Quantum_mechanics,6
646,Alpaca,Hurricane_Katrina,6
647,Adolf_Hitler,Super_Mario_Bros.,6
648,Airship,Lord_Voldemort,6
649,Google,Vampire,6
650,History_of_Greece,Electricity,6
651,Apollo,Skiing,6
652,Telephone,Turtle,6
653,Nintendo_Entertainment_System,Henry_VII_of_England,6
654,Comet_Hale-Bopp,Black_Sea,6
655,Internet_Explorer,Dubai,6
656,Aristotle,Food,6
657,Chinese_language,Gorilla,6
658,Rupee,Cheese,6
659,William_Shakespeare,Electron,6
660,Allah,Pluto,6
661,Vietnam,Aircraft_carrier,6
662,Cave,Emperor_Penguin,6
663,Fossil,Logic,5
664,Michael_Faraday,Human,5
665,Iceland_hotspot,Microsoft_Windows,5
666,Taoism,Steel,5
667,Calcium,Windows_2000,5
668,Dorset,Aluminium_chloride,5
669,Toy_Story,Agamemnon,5
670,Flag_of_the_Republic_of_China,Tanzania,5
671,Absolute_zero,Honey_bee,5
672,Measles,Wheat,5
673,Minnesota,Linux,5
674,Norse_mythology,Monkey,5
675,Water_Buffalo,Music,5
676,Great_white_shark,Sony,5
677,Epazote,New_moon,5
678,Black_Seminoles,Trigonometry,5
679,Boudica,Hubble_Space_Telescope,5
680,Scots_language,Sodium,5
681,Mars,Mammoth,5
682,Screw,Reptile,5
683,Antelope,Gmail,5
684,Steam_engine,Mario,5
685,David_Beckham,Frog,5
686,Woodworking,Jazz,5
687,Universe,Omega-3_fatty_acid,5
688,Damascus,Imperative_programming,5
689,Scotland_in_the_High_Middle_Ages,South_Africa,5
690,Santa_Claus,Asteroid,5
691,Weasel,California,5
692,Toy,Retina,5
693,Aggregator,Velociraptor,5
694,Dutch_language,Computer_science,5
695,Scheme_programming_language,Climate_change,5
696,Animal,Eastern_Orthodox_Church,5
697,Telephone,Tobacco,5
698,Crow,Ice_hockey,5
699,Tank,Asparagus,5
700,Quantum_mechanics,Clay,5
701,Seawater,Tibet,5
702,Allegory_in_the_Middle_Ages,Boron,5
703,Elephant_bird,Arnold_Schwarzenegger,5
704,Color,Computer,5
705,Vampire,Google,5
706,Snowy_Owl,Impressionism,5
707,Crustacean,Television,5
708,Croatia,Caribbean_Sea,5
709,Fish,Tupac_Shakur,5
710,Vitamin_D,Moon_landing,5
711,Frankenstein,South_Africa,5
712,Bosnia_and_Herzegovina,Jurassic,5
713,Ruthenium,Beryllium,5
714,Earthquake,Google,5
715,Dundee,Theodore_Roosevelt,5
716,Talc,Tin,5
717,Middle_Ages,Speed_of_light,5
718,Bangkok,Tsunami,5
719,Thomas_Hobbes,Trichinosis,5
720,Vowel,Mongolia,5
721,Pericles,British_Empire,5
722,Mestizo,Bronze_Age,5
723,Troodon,James_K._Polk,5
724,H5N1,Electricity,5
725,Essential_oil,Poland,5
726,Vitamin_D,Tony_Blair,5
727,Greenland,Emperor_Penguin,5
728,Julius_Caesar,Applied_mathematics,5
729,Pac-Man,Honey,5
730,Dog,Badminton,5
731,Force,Christianity,5
732,Roman_Empire,Deity,5
733,Distilled_beverage,Trojan_War,5
734,Sony,Adolf_Hitler,5
735,Chimpanzee,Ethanol,5
736,Buddha,Propaganda,5
737,Archbishop_of_Canterbury,Universe,5
738,Pac-Man,Henry_II_of_England,5
739,Buddha,Buckingham_Palace,5
740,Protoceratops,Big_Bang,5
741,Caribbean_Sea,Game,5
742,Nationalism,Electronics,5
743,Domesday_Book,Himalayas,5
744,Neutron,Himalayas,5
745,Postage_stamp,Cheese,5
746,Lithuania,Whale,5
747,Ottoman_Empire,Dublin,5
748,Driving_on_the_left_or_right,Vegetable,5
749,Saurischia,Hey_Jude,5
750,Effects_of_global_warming,Piano,5
751,Fruit,China,5
752,Coccinellidae,Smog,5
753,Summer,Light,5
754,South_Korea,Velociraptor,5
755,David_Attenborough,Johann_Sebastian_Bach,5
756,Linguistics,Edinburgh,5
757,Katana,Saturn_V,5
758,Old_Nubian_language,New_moon,5
759,English_language,Spanish_Inquisition,5
760,Kenya,Madrid,5
761,Expressionism,Boron,5
762,Biodiesel,Uranus,5
763,Baboon,Vitamin_C,5
764,Coconut,Osama_bin_Laden,5
765,Vancouver,Socrates,5
766,21st_century,Dog,5
767,Differential_equation,Education_in_the_United_States,5
768,Africa,Potato,5
769,Oregon,Kazakhstan,5
770,Fauna_of_Australia,Milky_Way,5
771,Telescope,Brass_instrument,5
772,England,California,5
773,Rome,London_Underground,5
774,Sumo,Reptile,5
775,Fertilizer,Animal_law,5
776,Unix,Quark,5
777,Glacier,Buddha,5
778,Tropical_Storm_Zeta_%282005%29,Music,5
779,Fruit,Jesus,5
780,Pompeii,The_Hague,5
781,Henry_VII_of_England,John_F._Kennedy_assassination,5
782,Evolution,Mecca,5
783,Roman_Catholic_Church,Cocoa,5
784,Rugby_World_Cup,Volt,5
785,Brisbane,Sound,5
786,14th_century,Elizabeth_I_of_England,5
787,Tiger,Cameroon,5
788,Space_Shuttle_Challenger_disaster,Johann_Pachelbel,5
789,Adolf_Hitler,Milk,5
790,Bandicoot,Shark,5
791,James_Cook,Civilization,5
792,Fossil_fuel,Adelaide,5
793,Space_Shuttle_Challenger,HIV,5
794,Merseburg_Incantations,Plains_Zebra,5
795,Prospecting,9th_century,5
796,Bromine,Austria,5
797,Adolf_Hitler,Nintendo,5
798,Wave,Baseball,5
799,Goldfish,Trumpet,5
800,Gorilla,Opera,5
801,2005_Atlantic_hurricane_season,Jazz,5
802,Feather,Crusades,5
803,Pliocene,Poetry,5
804,Lesotho,Last_Supper,5
805,Badminton,Walrus,5
806,Nuclear_fission,English_language,5
807,British_Virgin_Islands,Magma,5
808,Phoenix_Zoo,Cyclops,5
809,Literature,Piano,5
810,Yemen,James_K._Polk,5
811,Mercury_%28planet%29,China,5
812,Colima_%28volcano%29,Police_state,5
813,Bull_shark,Irish_Sea,5
814,Avalanche,Flag_of_Mexico,5
815,Weed,Biology,5
816,AIDS,Flamingo,5
817,Suffrage,Windows_Vista,5
818,Weed,Potato,5
819,Leif_Ericson,Weed,5
820,Film,Superconductivity,5
